permit_number,geocode,permit_issued_date,address,dwellings,construction_type,permit_type,description,city
2016-MSS-RES-00568,04219912102255029,2016-07-11,5070 CATTLE DR,1,Residential Construction,BNSFR,ENVELOPE #29,Missoula
2016-MSS-RES-00569,04220016442010000,2016-07-27,1315 MILTON ST,1,Residential Construction,BNSFR,LOT 12A SCHOOL ADD BLK 21,Missoula
2016-MSS-RES-00575,04219910304650000,2016-07-21,2728 CARNOUSTIE WAY,1,Residential Construction,BNSFR,LOT 65 PHANTOM HILL PH 1 & 2,Missoula
2016-MSS-RES-00596,04209304309010000,2016-08-25,310 SPANISH PEAKS DR,1,Residential Construction,BNSFR,LOT 129 MANSION HEIGHTS,Missoula
2016-MSS-RES-00601,04219924405270000,2016-08-05,280 STONYBROOK DR,1,Residential Construction,BNSFR,LOT 5 STONYBROOK,Missoula
2016-MSS-RES-00602,04220019315270000,2016-08-03,345 HIBERTA ST,1,Residential Construction,BNSFR,LOT 27 WATER WHEEL TRAILS,Missoula
2016-MSS-RES-00610,04220029201845040,2016-08-25,2305 ASPEN GROVE,1,Residential Construction,BNSFR,,Missoula
2016-MSS-RES-00611,04220029201845038,2016-08-25,2313 ASPEN GROVE,1,Residential Construction,BNSFT,,Missoula
2016-MSS-RES-00612,04220029201845039,2016-08-25,2303 ASPEN GROVE,1,Residential Construction,BNSFT,,Missoula
2016-MSS-RES-00613,04220029201845037,2016-08-25,2311 ASPEN GROVE,1,Residential Construction,BNSFT,,Missoula
2016-MSS-RES-00614,04209213209230000,2016-08-10,7121 AVERY LN,1,Residential Construction,BNSFR,LOT 23 LINDA VISTA SUP 14,Missoula
2016-MSS-RES-00632,04220028213090000,2016-10-03,1108 LONGSTAFF ST,1,Residential Construction,BNSFT,"LOT A SOUTH MISSOULA ADDITION, BLOCK 94 LOT 1 THRU 4",Missoula
2016-MSS-RES-00646,04220118308210000,2016-08-03,561 CAHILL RISE,1,Residential Construction,BNSFR,LOT 184 CANYON RIVER PH 5,Missoula
2016-MSS-RES-00651,04219912208280000,2016-09-02,2322 TENDERFOOT WAY,1,Residential Construction,BNSFR,LOT 191 44 RANCH ESTATES PH 7B,Missoula
2016-MSS-RES-00658,04220027103340000,2016-09-08,803 BEVERLY AVE,1,Residential Construction,BNSFR,LOTS 8 & 9 UNIVERSITY ADDITION,Missoula
2016-MSS-RES-00659,04220016203035050,2016-08-24,1825-A SCOTT ST,1,Residential Construction,BNSFT,#A,Missoula
2016-MSS-RES-00661,04220016203035051,2016-08-24,1825-B SCOTT ST,1,Residential Construction,BNSFT,#B,Missoula
2016-MSS-RES-00663,04220016203035052,2016-08-24,1825-C SCOTT ST,1,Residential Construction,BNSFT,#C,Missoula
2016-MSS-RES-00666,04219912208220000,2016-08-22,5321 FILLY LN,1,Residential Construction,BNSFR,LOT 197 44 RANCH PH 7B,Missoula
2016-MSS-RES-00676,04209213209270000,2016-09-08,7153 AVERY LN,1,Residential Construction,BNSFR,,Missoula
2016-MSS-RES-00686,04209213210030000,2016-08-30,7114 AVERY LN,1,Residential Construction,BNSFR,LOT 3 LINDA VISTA PH 1,Missoula
2016-MSS-RES-00687,04220016203035048,2016-08-24,1815-A SCOTT ST,1,Residential Construction,BNSFT,TOWNHOUSE #A,Missoula
2016-MSS-RES-00689,04220016203035049,2016-08-24,1815-B SCOTT ST,1,Residential Construction,BNSFT,TOWNHOUSE #B,Missoula
2016-MSS-RES-00693,04220012307060000,2016-08-22,2925 LOWER LINCOLN HILLS DR,1,Residential Construction,BNSFR,MT JUMBO VIEWS LOT 1,Missoula
2016-MSS-RES-00700,04220028409060000,2016-08-30,310 W SUSSEX AVE,1,Residential Construction,BNSFR,LOT 21 HOMEVALE ADD BLK 43,Missoula
2016-MSS-RES-00701,04220016318030000,2016-08-30,1526 SHERWOOD ST,1,Residential Construction,BNSFR,LOT 15A SCHOOL ADD BLK 73,Missoula
2016-MSS-RES-00711,04209213101110000,2016-09-20,6903 SHAVER DR,1,Residential Construction,BNSFR,LINDA VISTA 15TH LOT 1,Missoula
2016-MSS-RES-00714,04219910302310000,2016-09-19,2626 MUIRFIELD CT,1,Residential Construction,BNSFR,LOT 31 PHANTOM HILLS PH 1 & 2,Missoula
2016-MSS-RES-00737,04220019315260000,2016-08-30,365 HIBERTA ST,1,Residential Construction,BNSFR,LOT 26 WATER WHEEL,Missoula
2016-MSS-RES-00776,04220016203035001,2016-09-08,1105 VILLAGE WAY,1,Residential Construction,BNSFR,UNIT 1 SCOTT ST VILLAGE,Missoula
2016-MSS-RES-00785,04220021204130000,2016-10-20,1130-A  MONTANA ST,2,Residential Construction,BNSFT,"EDDY ADDN/ BLK 8, LOT 1/2 17, 18, 19",Missoula
2016-MSS-RES-00794,04220029136300000,2016-09-23,1839 S 11TH ST W,1,Residential Construction,BNSFR,LOT 10-12 DALYS ADD BLK 52,Missoula
2016-MSS-RES-00796,04220021442020000,2016-09-08,636 S 01ST ST W,1,Residential Construction,BNSFR,LOT 8 KNOWLES BLK 45,Missoula
2016-MSS-RES-00810,04220016203035003,2016-09-19,1125 VILLAGE WAY,1,Residential Construction,BNSFR,UNTI #3 SCHOOL ADDITION,Missoula
2016-MSS-RES-00814,04219912208270000,2016-10-20,5381 FILLY LN,1,Residential Construction,BNSFR,LOT 192 44 RANCH PH 7B,Missoula
2016-MSS-RES-00818,04219914403400000,2016-09-13,1518 ANGELINA WAY,1,Residential Construction,BNSFR,LOT 27 RIVERWALK ESTATES,Missoula
2016-MSS-RES-00819,04220118308060000,2016-09-09,441 CAHILL RISE,1,Residential Construction,BNSFR,LOT 169 CANYON RIVER PH 5,Missoula
2016-MSS-RES-00826,04220007301080000,2016-09-27,4116 CONCORD DR  APTS A/B,2,Residential Construction,BNRDX,LOT M-10 PLEASANT VIEW HOMES #5,Missoula
2016-MSS-RES-00836,04220019315250000,2016-09-14,385 HIBERTA ST,1,Residential Construction,BNSFR,LOT 25 WATER WHEEL TRAILS,Missoula
2016-MSS-RES-00843,04220016203035002,2016-09-29,1115 VILLAGE WAY,1,Residential Construction,BNSFR,UNIT 2 SCOTT STREET TH,Missoula
2016-MSS-RES-00848,04220118305100000,2016-11-03,964 BANDMANN TRL,1,Residential Construction,BNSFR,LOT 10B CANYON RIVER,Missoula
2016-MSS-RES-00852,04220014307060000,2016-11-03,705 DICKINSON ST,1,Residential Construction,BNSFR,LOT 30 ORSDALE,Missoula
2016-MSS-RES-00855,04220118306060000,2016-09-16,5553 CANYON RIVER RD,1,Residential Construction,BNSFR,LOT 42A CANYON RIVER,Missoula
2016-MSS-RES-00856,04220016203035004,2016-09-26,1135 VILLAGE WAY,1,Residential Construction,BNSFR,UNIT 4 SCOTT STREET VILLAGE,Missoula
2016-MSS-RES-00858,04220016203035005,2016-10-12,1145 VILLAGE WAY,1,Residential Construction,BNSFR,UNIT 5 SCOTT STREET VILLAGE,Missoula
2016-MSS-RES-00863,04220021341080000,2016-10-11,1239 RIVER ST  #100/200,2,Residential Construction,BNRDX,LOT 14A COOKS ADD,Missoula
2016-MSS-RES-00864,04220118308070000,2016-10-06,449 CAHILL RISE,1,Residential Construction,BNSFR,LOT 170 CANYON RIVER PH 5,Missoula
2016-MSS-RES-00868,04219910302350000,2016-10-26,2608 MUIRFIELD CT,1,Residential Construction,BNSFR,LOT 35 PHANTOM HILLS PH 1 & 2,Missoula
2016-MSS-RES-00869,04220016203035006,2016-09-26,1155 VILLAGE WAY,1,Residential Construction,BNSFR,SCOTT STREET VILLAGE/ SCHOOL ADDITION UNIT 6,Missoula
2016-MSS-RES-00883,04209213209120000,2016-10-17,7154 BROOKE LYNN CT,1,Residential Construction,BNSFR,LOT 12 LINDA VISTA 14TH,Missoula
2016-MSS-RES-00885,04220016203035007,2016-09-29,1165 VILLAGE WAY,1,Residential Construction,BNSFR,UNIT 7 SCOTT STREET VILLAGE,Missoula
2016-MSS-RES-00887,04220016203035008,2016-11-21,1175 VILLAGE WAY,1,Residential Construction,BNSFR,UNIT 8 SCOTT STREET VILLAGE,Missoula
2016-MSS-RES-00889,04220016203035009,2016-11-21,1185 VILLAGE WAY,1,Residential Construction,BNSFR,UNIT 9 SCOTT STREET VILLAGE,Missoula
2016-MSS-RES-00891,04220029385060000,2016-10-25,2428 BURLINGTON AVE,1,Residential Construction,BNSFR,LOT 9 VANN ADDITION,Missoula
2016-MSS-RES-00898,04220019117030000,2016-09-30,2751 EMERY PL,1,Residential Construction,BNSFR,,Missoula
2016-MSS-RES-00909,04220011316020000,2016-11-04,3105 CUMMINS WAY,1,Residential Construction,BNSFR,LOT 2 APPLE GROVE,Missoula
2016-MSS-RES-00910,04219912208130000,2016-10-25,5340 FILLY LN,1,Residential Construction,BNSFR,LOT 173 44 RANCH PH 7B,Missoula
2016-MSS-RES-00917,04209213101150000,2016-10-17,6927 SHAVER DR,1,Residential Construction,BNSFR,LOT 5 LINDA VISTA 15TH,Missoula
2016-MSS-RES-00925,04209213101280000,2016-10-20,7007 MAX DR,1,Residential Construction,BNSFR,LOT 18 LINDA VISTA 15TH,Missoula
2016-MSS-RES-00936,04220028101100000,2016-11-15,828 WOODFORD ST,1,Residential Construction,BNSFR,LOT 7 & 8 SOUTH MISSOULA BLK 72,Missoula
2016-MSS-RES-00939,04220029228170000,2016-10-17,2154 S 12TH ST W,1,Residential Construction,BNSFR,LOT 19A DALYS ADDITION #2,Missoula
2016-MSS-RES-00953,04209213101350000,2016-10-24,6944 SHAVER DR,1,Residential Construction,BNSFR,LOT 25 LINDA VISTA 15TH,Missoula
2016-MSS-RES-00959,04219910309550000,2016-11-02,2672 BUNKHOUSE PL,1,Residential Construction,BNSFR,LOT 159 RANCH CLUB PHASE 6,Missoula
2016-MSS-RES-00981,04219912208210000,2016-11-10,5309 FILLY LN,1,Residential Construction,BNSFR,LOT 198 44 RANCH ESTATES PHASE 7B,Missoula
2016-MSS-RES-00982,04209213209400000,2016-11-14,7172 BROOK LYNN CT,1,Residential Construction,BNSFR,LOT 40 LINDA VISTA 14,Missoula
2016-MSS-RES-01005,04209213101160000,2016-11-17,6933 SHAVER DR,1,Residential Construction,BNSFR,,Missoula
2016-MSS-RES-01034,04219912205450000,2016-11-09,5310 RESISTOL LN,1,Residential Construction,BNSFR,LOT 84 44 RANCH,Missoula
2016-MSS-RES-01035,04219912204150000,2016-11-09,2417 SNAFFLE BIT WAY,1,Residential Construction,BNSFR,LOT 215 44 RANCH,Missoula
2016-MSS-RES-01046,04220118305110000,2016-11-04,946 BANDMANN TRL,1,Residential Construction,BNSFR,LOT 11B CANYON RIVER,Missoula
2016-MSS-RES-01047,04209304307500000,2016-11-10,407 SPANISH PEAKS DR,1,Residential Construction,BNSFR,LOT 50 MANSION HEIGHTS PH 7,Missoula
2016-MSS-RES-01057,04219912208010000,2016-11-04,2440 TENDERFOOT WAY,1,Residential Construction,BNSFR,LOT 161 44 RANCH PH 7,Missoula
2016-MSS-RES-01058,04219910307150000,2016-11-09,2936 PRADA DR,1,Residential Construction,BNSFR,LOT 90 RANCH CLUB,Missoula
2016-MSS-RES-01074,04219912208390000,2016-12-08,2421 HALF HITCH DR,1,Residential Construction,BNSFR,LOT 139 44 RANCH,Missoula
2016-MSS-RES-01082,04219924405210000,2016-12-05,445 STONYBROOK DR,1,Residential Construction,BNSFR,LOT 35 STONYBROOK,Missoula
2016-MSS-RES-01095,04209213209170000,2016-12-09,7122 BROOKE LYNN CT,1,Residential Construction,BNSFR,LOT 17 LINDA VISTA 14TH,Missoula
2016-MSS-RES-01115,04219910310280000,2016-11-29,3022 TRADING POST PL,1,Residential Construction,BNSFR,RANCH CLUB LOT 193,Missoula
2016-MSS-RES-01148,04220118308130000,2016-12-08,497 CAHILL RISE,1,Residential Construction,BNSFR,LOT 176 CANYON RIVER PHASE 5,Missoula
2016-MSS-RES-01153,04219912208480000,2016-12-21,5432 FILLY LN,1,Residential Construction,BNSFR,LOT 152 44 RANCH,Missoula
2016-MSS-RES-01158,04219910309530000,2016-12-09,2664 BUNKHOUSE PL,1,Residential Construction,BNSFR,LOT 158 RANCH CLUB,Missoula
2016-MSS-RES-01180,04220118308170000,2016-12-14,529 CAHILL RISE,1,Residential Construction,BNSFR,LOT 180 CANYON RIVER PH 5,Missoula
